# Duplication baseline for hand-written code under src/ (layer 3 of #251).
# Generated by scripts/Duplication.cs. Do not edit by hand.
# Refresh: UPDATE_GOLDEN_FILES=true dotnet run scripts/Duplication.cs
# K: cluster — duplicated token span x copies — ordinal-sorted method ids.
# Method ids are RELATIVE-PATH:Type.Method. No line numbers: a refactor that
# moves code without changing overlap must not trip this gate.
# Emitted/generated code is out of scope by design (docs/23-DUPLICATION.md).
# totals: clusters=93 duplicated-tokens=12034
K | span=72 copies=2 | src/Parquet.SourceGenerator.Attributes/VectorizedColumnTransforms.cs:VectorizedColumnTransforms.ConvertTicksToEpochMicroseconds | src/Parquet.SourceGenerator.Attributes/VectorizedColumnTransforms.cs:VectorizedColumnTransforms.ConvertTicksToEpochMilliseconds
K | span=71 copies=2 | src/Parquet.SourceGenerator/Emitter/Components/BufferPoolComponent.cs:BufferPoolComponent.EmitWriteRentals | src/Parquet.SourceGenerator/Emitter/Compound/CompoundBuffers.cs:CompoundBuffers.EmitWriteRentals
K | span=70 copies=2 | src/Parquet.SourceGenerator.Attributes/VectorizedColumnTransforms.cs:VectorizedColumnTransforms.ConvertEpochMicrosecondsToTicks | src/Parquet.SourceGenerator.Attributes/VectorizedColumnTransforms.cs:VectorizedColumnTransforms.ConvertEpochMillisecondsToTicks
K | span=69 copies=2 | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadArrayAsync | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadPrunedRangeAsync
K | span=69 copies=2 | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadAsync | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadPrunedRangeAsync
K | span=67 copies=2 | src/Parquet.SourceGenerator.Attributes/VectorizedColumnTransforms.cs:VectorizedColumnTransforms.Widen | src/Parquet.SourceGenerator.Attributes/VectorizedColumnTransforms.cs:VectorizedColumnTransforms.Widen
K | span=67 copies=2 | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadParallelAsync | src/Parquet.SourceGenerator/Emitter/ColumnBatchComponent.cs:ColumnBatchComponent.EmitReadBatchesAsync
K | span=67 copies=2 | src/Parquet.SourceGenerator/Emitter/Components/SchemaComponent.cs:SchemaComponent.EmitSchema | src/Parquet.SourceGenerator/Emitter/Compound/CompoundSchema.cs:CompoundSchema.EmitSchema
K | span=63 copies=2 | src/Parquet.SourceGenerator.Attributes/VectorizedColumnTransforms.cs:VectorizedColumnTransforms.MultiplyScale | src/Parquet.SourceGenerator.Attributes/VectorizedColumnTransforms.cs:VectorizedColumnTransforms.MultiplyScale
K | span=63 copies=2 | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadParallelAsync | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadPrunedRangeAsync
K | span=62 copies=2 | src/Parquet.SourceGenerator.Attributes/NullableColumnExtractor.cs:NullableColumnExtractor.ExtractBranchless`1 | src/Parquet.SourceGenerator.Attributes/NullableColumnExtractor.cs:NullableColumnExtractor.ExtractTwoPass`1
K | span=61 copies=2 | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadPrunedRangeAsync | src/Parquet.SourceGenerator/Emitter/ColumnBatchComponent.cs:ColumnBatchComponent.EmitReadBatchesAsync
K | span=60 copies=2 | src/Parquet.SourceGenerator.Attributes/VectorizedColumnTransforms.cs:VectorizedColumnTransforms.ConvertEpochMicrosecondsToTicks | src/Parquet.SourceGenerator.Attributes/VectorizedColumnTransforms.cs:VectorizedColumnTransforms.Widen
K | span=60 copies=2 | src/Parquet.SourceGenerator.Attributes/VectorizedColumnTransforms.cs:VectorizedColumnTransforms.ConvertEpochMillisecondsToTicks | src/Parquet.SourceGenerator.Attributes/VectorizedColumnTransforms.cs:VectorizedColumnTransforms.Widen
K | span=60 copies=2 | src/Parquet.SourceGenerator.Attributes/VectorizedColumnTransforms.cs:VectorizedColumnTransforms.Narrow | src/Parquet.SourceGenerator.Attributes/VectorizedColumnTransforms.cs:VectorizedColumnTransforms.Widen
K | span=60 copies=2 | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadParallelAsync | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadParallelBufferAsync
K | span=59 copies=2 | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadPrunedRangeAsync | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadRowGroupsIntoAsync
K | span=59 copies=2 | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadRowGroupsIntoAsync | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadStreamAsync
K | span=58 copies=2 | src/Parquet.SourceGenerator.Attributes/VectorizedColumnTransforms.cs:VectorizedColumnTransforms.MultiplyScale | src/Parquet.SourceGenerator.Attributes/VectorizedColumnTransforms.cs:VectorizedColumnTransforms.Widen
K | span=58 copies=2 | src/Parquet.SourceGenerator/Emitter/Components/BufferPoolComponent.cs:BufferPoolComponent.EmitWriteReturns | src/Parquet.SourceGenerator/Emitter/Compound/CompoundBuffers.cs:CompoundBuffers.EmitWriteReturns
K | span=57 copies=2 | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitWriteAsync | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitWriteAsyncEnumerable
K | span=57 copies=2 | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitWriteAsync | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitWriteBatchedAsync
K | span=55 copies=2 | src/Parquet.SourceGenerator.Attributes/VectorizedColumnTransforms.cs:VectorizedColumnTransforms.ConvertEpochMicrosecondsToTicks | src/Parquet.SourceGenerator.Attributes/VectorizedColumnTransforms.cs:VectorizedColumnTransforms.Narrow
K | span=55 copies=2 | src/Parquet.SourceGenerator.Attributes/VectorizedColumnTransforms.cs:VectorizedColumnTransforms.ConvertEpochMillisecondsToTicks | src/Parquet.SourceGenerator.Attributes/VectorizedColumnTransforms.cs:VectorizedColumnTransforms.Narrow
K | span=55 copies=2 | src/Parquet.SourceGenerator.Attributes/VectorizedColumnTransforms.cs:VectorizedColumnTransforms.Narrow | src/Parquet.SourceGenerator.Attributes/VectorizedColumnTransforms.cs:VectorizedColumnTransforms.Narrow
K | span=55 copies=2 | src/Parquet.SourceGenerator.Legacy/Emitter/LegacyCodeEmitter.cs:LegacyCodeEmitter.EmitWriteAsync | src/Parquet.SourceGenerator.Legacy/Emitter/LegacyCodeEmitter.cs:LegacyCodeEmitter.EmitWriteBatchedAsync
K | span=55 copies=2 | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadBufferSequentialArrayAsync | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadParallelAsync
K | span=55 copies=2 | src/Parquet.SourceGenerator/Emitter/Components/BufferPoolComponent.cs:BufferPoolComponent.EmitWriteRentals | src/Parquet.SourceGenerator/Emitter/Components/BufferPoolComponent.cs:BufferPoolComponent.EmitWriteReturns
K | span=54 copies=2 | src/Parquet.SourceGenerator.Attributes/VectorizedColumnTransforms.cs:VectorizedColumnTransforms.ConvertEpochMicrosecondsToTicks | src/Parquet.SourceGenerator.Attributes/VectorizedColumnTransforms.cs:VectorizedColumnTransforms.MultiplyScale
K | span=54 copies=2 | src/Parquet.SourceGenerator.Attributes/VectorizedColumnTransforms.cs:VectorizedColumnTransforms.ConvertEpochMillisecondsToTicks | src/Parquet.SourceGenerator.Attributes/VectorizedColumnTransforms.cs:VectorizedColumnTransforms.MultiplyScale
K | span=54 copies=2 | src/Parquet.SourceGenerator.Attributes/VectorizedColumnTransforms.cs:VectorizedColumnTransforms.MultiplyScale | src/Parquet.SourceGenerator.Attributes/VectorizedColumnTransforms.cs:VectorizedColumnTransforms.Narrow
K | span=54 copies=2 | src/Parquet.SourceGenerator/Emitter/Components/RowGroupLayoutComponent.cs:RowGroupLayoutComponent.EmitIndexedLayoutProbe | src/Parquet.SourceGenerator/Emitter/Components/RowGroupLayoutComponent.cs:RowGroupLayoutComponent.EmitLayoutProbe
K | span=54 copies=2 | src/Parquet.SourceGenerator/Emitter/Compound/CompoundBuffers.cs:CompoundBuffers.EmitRentals | src/Parquet.SourceGenerator/Emitter/Compound/CompoundBuffers.cs:CompoundBuffers.EmitWriteRentals
K | span=53 copies=2 | src/Parquet.SourceGenerator/Emitter/Components/BufferPoolComponent.cs:BufferPoolComponent.EmitSingleWriteReturn | src/Parquet.SourceGenerator/Emitter/Compound/CompoundBuffers.cs:CompoundBuffers.EmitSingleWriteReturn
K | span=52 copies=2 | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadArrayAsync | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadRowGroupsIntoAsync
K | span=52 copies=2 | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadAsync | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadRowGroupsIntoAsync
K | span=52 copies=2 | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadParallelAsync | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadRowGroupsIntoAsync
K | span=51 copies=2 | src/Parquet.SourceGenerator/Emitter/Components/BufferPoolComponent.cs:BufferPoolComponent.EmitRentals | src/Parquet.SourceGenerator/Emitter/Components/BufferPoolComponent.cs:BufferPoolComponent.EmitReturns
K | span=50 copies=2 | src/Parquet.SourceGenerator.Legacy/Emitter/LegacyCodeEmitter.cs:LegacyCodeEmitter.EmitWriteRowGroupAsync | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitWriteRowGroupAsync
K | span=49 copies=2 | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadAsync | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadBufferSequentialArrayAsync
K | span=49 copies=2 | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadBufferSequentialArrayAsync | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadPrunedRangeAsync
K | span=49 copies=2 | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadBufferSequentialArrayAsync | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadStreamAsync
K | span=48 copies=2 | src/Parquet.SourceGenerator/Emitter/Compound/CompoundBuffers.cs:CompoundBuffers.EmitRentals | src/Parquet.SourceGenerator/Emitter/Compound/CompoundBuffers.cs:CompoundBuffers.EmitReturns
K | span=47 copies=2 | src/Parquet.SourceGenerator.Legacy/ParquetLegacyIncrementalGenerator.cs:ParquetLegacyIncrementalGenerator.IsTargetSyntax | src/Parquet.SourceGenerator/ParquetIncrementalGenerator.cs:ParquetIncrementalGenerator.IsTargetSyntax
K | span=47 copies=2 | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitWriteAsyncEnumerable | src/Parquet.SourceGenerator/Emitter/Columnar/ColumnarBatchComponent.cs:ColumnarBatchComponent.EmitBatchStreamWriter
K | span=47 copies=2 | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitWriteBatchedAsync | src/Parquet.SourceGenerator/Emitter/Columnar/ColumnarBatchComponent.cs:ColumnarBatchComponent.EmitBatchStreamWriter
K | span=46 copies=2 | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadBufferSequentialArrayAsync | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadRowGroupsIntoAsync
K | span=44 copies=2 | src/Parquet.SourceGenerator.Legacy/Emitter/LegacyCodeEmitter.cs:LegacyCodeEmitter.EmitWriteRowGroupAsync | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadAsync
K | span=44 copies=2 | src/Parquet.SourceGenerator/Emitter/ArrowBridgeEmitter.cs:ArrowBridgeEmitter.EmitBinary | src/Parquet.SourceGenerator/Emitter/ArrowBridgeEmitter.cs:ArrowBridgeEmitter.EmitConvertRequired
K | span=44 copies=2 | src/Parquet.SourceGenerator/Emitter/ArrowBridgeEmitter.cs:ArrowBridgeEmitter.EmitConvertRequired | src/Parquet.SourceGenerator/Emitter/ArrowBridgeEmitter.cs:ArrowBridgeEmitter.EmitUtf8
K | span=43 copies=2 | src/Parquet.SourceGenerator.Attributes/VectorizedColumnTransforms.cs:VectorizedColumnTransforms.ConvertEpochMicrosecondsToTicks | src/Parquet.SourceGenerator.Attributes/VectorizedColumnTransforms.cs:VectorizedColumnTransforms.ConvertTicksToEpochMicroseconds
K | span=43 copies=2 | src/Parquet.SourceGenerator.Attributes/VectorizedColumnTransforms.cs:VectorizedColumnTransforms.ConvertEpochMicrosecondsToTicks | src/Parquet.SourceGenerator.Attributes/VectorizedColumnTransforms.cs:VectorizedColumnTransforms.ConvertTicksToEpochMilliseconds
K | span=43 copies=2 | src/Parquet.SourceGenerator.Attributes/VectorizedColumnTransforms.cs:VectorizedColumnTransforms.ConvertEpochMillisecondsToTicks | src/Parquet.SourceGenerator.Attributes/VectorizedColumnTransforms.cs:VectorizedColumnTransforms.ConvertTicksToEpochMicroseconds
K | span=43 copies=2 | src/Parquet.SourceGenerator.Attributes/VectorizedColumnTransforms.cs:VectorizedColumnTransforms.ConvertEpochMillisecondsToTicks | src/Parquet.SourceGenerator.Attributes/VectorizedColumnTransforms.cs:VectorizedColumnTransforms.ConvertTicksToEpochMilliseconds
K | span=43 copies=2 | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadWithNullBypass | src/Parquet.SourceGenerator/Emitter/Components/PropertyMappingComponent.cs:PropertyMappingComponent.EmitArrayMaterialization
K | span=43 copies=2 | src/Parquet.SourceGenerator/Emitter/Components/BufferPoolComponent.cs:BufferPoolComponent.EmitSingleWriteReturn | src/Parquet.SourceGenerator/Emitter/Components/BufferPoolComponent.cs:BufferPoolComponent.EmitWriteReturns
K | span=43 copies=2 | src/Parquet.SourceGenerator/Emitter/Compound/CompoundBuffers.cs:CompoundBuffers.EmitRentals | src/Parquet.SourceGenerator/Emitter/Compound/CompoundBuffers.cs:CompoundBuffers.EmitWriteReturns
K | span=43 copies=2 | src/Parquet.SourceGenerator/Emitter/Compound/CompoundBuffers.cs:CompoundBuffers.EmitReturns | src/Parquet.SourceGenerator/Emitter/Compound/CompoundBuffers.cs:CompoundBuffers.EmitWriteReturns
K | span=42 copies=2 | src/Parquet.SourceGenerator.Legacy/Emitter/LegacyCodeEmitter.cs:LegacyCodeEmitter.EmitReadArrayAsync | src/Parquet.SourceGenerator/Emitter/Columnar/ColumnarBatchComponent.cs:ColumnarBatchComponent.EmitBatchStreamWriter
K | span=42 copies=2 | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadMemoryOverloads | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadParallelBufferAsync
K | span=42 copies=2 | src/Parquet.SourceGenerator/Emitter/Components/BufferPoolComponent.cs:BufferPoolComponent.EmitReturns | src/Parquet.SourceGenerator/Emitter/Compound/CompoundBuffers.cs:CompoundBuffers.EmitReturns
K | span=42 copies=2 | src/Parquet.SourceGenerator/Emitter/Components/PropertyMappingComponent.cs:PropertyMappingComponent.EmitArrayMaterialization | src/Parquet.SourceGenerator/Emitter/Compound/CompoundMapping.cs:CompoundMapping.EmitArrayMaterialization
K | span=41 copies=2 | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadBufferSequentialArrayAsync | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadMemoryOverloads
K | span=41 copies=2 | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadBufferSequentialArrayAsync | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadParallelBufferAsync
K | span=41 copies=2 | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadParallelAsync | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitWriteAsync
K | span=41 copies=2 | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadParallelAsync | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitWriteAsyncEnumerable
K | span=41 copies=2 | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadParallelAsync | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitWriteBatchedAsync
K | span=40 copies=2 | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadMemoryOverloads | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadStreamAsync
K | span=40 copies=2 | src/Parquet.SourceGenerator/Emitter/ColumnBatchComponent.cs:ColumnBatchComponent.EmitReadBatchesAsync | src/Parquet.SourceGenerator/Emitter/Components/StringDeduplicatorComponent.cs:StringDeduplicatorComponent.EmitRawStringColumnReader
